#{"t_start": 1588729871.6657398, "env_id": null}
138,135,14877.730965
151,249,14893.068477
136,166,14903.288328
88,164,14913.56687
134,167,14923.691716
94,50,14926.665764
134,193,14938.851243
111,203,14951.356708
2,5,14951.678257
90,52,14955.231083
145,610,14993.070902
140,335,15013.753455
143,231,15028.536222
134,116,15035.707623
78,42,15038.288677
124,103,15044.647055
118,715,15088.463443
131,108,15095.000113
145,185,15106.32889
137,166,15116.672225
87,42,15119.433576
1,7,15119.910382
136,347,15141.061835
140,303,15159.315775
145,345,15180.331543
91,85,15185.423853
3,16,15186.416702
135,168,15196.829234
137,174,15207.295059
141,233,15221.690924
18,133,15229.900897
84,42,15232.466932
95,59,15236.083604
135,149,15245.33959
146,1081,15312.637809
139,230,15326.861912
139,321,15346.547395
5,12,15347.270132
136,230,15361.455594
152,633,15400.007792
9,25,15401.538065
9,15,15402.488865
80,39,15404.922355
115,164,15415.164079
135,1032,15479.462565
168,1044,15543.463012
85,109,15550.167114
7,12,15550.962944
115,354,15572.798454
142,236,15587.085162
123,481,15617.125187
136,245,15631.955139
93,50,15635.027847
140,253,15650.564094
136,115,15658.08119
151,1178,15731.02196
1,9,15731.588403
1,7,15732.052345
1,7,15732.48894
137,232,15746.817962
1,7,15747.246869
1,7,15747.709173
134,262,15764.055849
9,16,15765.061497
135,463,15794.923857
73,50,15797.89379
142,599,15834.969768
159,680,15876.933244
130,91,15882.613007
136,203,15895.340876
92,45,15898.151701
122,221,15911.83843
135,542,15945.461516
135,114,15952.245522
3,10,15952.848577
155,394,15977.100432
139,1307,16056.703495
6,9,16057.275999
23,47,16060.151233
148,387,16083.638422
145,247,16099.25456
91,100,16105.760459
135,218,16119.35632
171,1197,16193.134218
148,425,16219.303028
136,263,16235.821764
137,343,16257.338624
92,238,16272.272304
130,815,16322.423351
149,741,16367.502066
155,692,16409.602052
136,486,16438.933391
135,252,16454.336922
128,100,16460.354288
169,507,16491.987323
135,221,16505.351764
162,473,16533.763825
86,254,16548.993067
79,35,16551.109056
11,17,16552.100359
9,14,16552.914951
94,71,16557.120695
83,105,16563.49114
79,72,16567.817218
148,479,16596.951962
89,52,16600.059164
149,767,16647.276186
135,146,16656.089976
131,167,16666.396353
28,140,16675.073148
135,407,16700.296383
137,300,16718.662197
163,233,16732.025089
129,129,16738.720232
165,390,16759.087934
137,535,16787.106888
137,150,16795.168759
168,436,16817.863455
139,353,16836.212749
1,6,16836.512475
8,13,16837.16568
1,6,16837.478007
137,540,16868.542045
164,416,16894.055535
137,359,16915.944625
9,18,16917.085769
129,96,16923.041594
118,193,16934.948182
118,233,16949.550884
126,251,16965.285619
118,99,16971.502174
135,183,16982.907226
122,375,17006.833282
89,50,17009.952967
137,480,17039.513011
136,228,17053.953434
137,117,17061.32021
150,296,17080.331865
137,139,17089.22099
136,485,17118.540939
147,481,17147.864206
95,61,17151.657405
164,458,17179.984228
1,11,17180.689533
160,269,17197.305197
137,376,17220.606828
97,123,17228.370324
118,232,17242.823375
138,166,17253.072857
139,172,17263.683484
131,136,17271.979544
106,170,17282.345811
106,255,17297.926537
140,188,17309.681736
78,61,17313.446494
168,488,17344.445675
90,71,17348.705328
131,411,17373.694716
178,851,17424.864431
86,45,17427.642689
5,14,17428.548049
166,1119,17497.389585
140,287,17515.094566
156,558,17549.491835
134,124,17557.290694
97,102,17563.712659
134,180,17574.857418
146,290,17593.259529
136,187,17605.032675
139,200,17617.807297
165,567,17653.192562
141,498,17683.883124
133,122,17691.601719
122,116,17698.90446
1,7,17699.315435
164,336,17720.195754
79,89,17725.611765
174,347,17747.154461
39,100,17753.131212
2,9,17753.701569
89,166,17764.095067
79,84,17769.383679
120,260,17785.352848
130,118,17792.678291
130,118,17800.125334
143,306,17818.723192
91,53,17822.036534
137,215,17834.992839
3,6,17835.384596
1,3,17835.586379
80,48,17838.487092
151,127,17846.187645
90,46,17849.054507
137,193,17861.02776
135,127,17868.936411
97,86,17874.273883
8,23,17875.683773
103,415,17901.434355
146,267,17917.567165
180,147,17926.528073
130,315,17945.950813
138,338,17967.391439
93,78,17972.229156
79,45,17974.974394
9,16,17975.907859
92,45,17978.61712
143,102,17984.935656
139,209,17997.878126
144,598,18033.614758
8,15,18034.542008
163,268,18050.841653
137,324,18071.151984
10,15,18072.100389
152,296,18090.794179
2,15,18091.696156
152,166,18101.697891
156,377,18125.204705
174,683,18167.306098
137,141,18176.186067
94,66,18180.205405
146,141,18188.791764
139,384,18212.535733
135,100,18218.751915
208,202,18231.196757
96,122,18239.207207
233,424,18264.607652
154,189,18275.287699
148,240,18289.257417
136,178,18299.965101
188,425,18324.764347
151,261,18340.013086
168,287,18356.553858
140,525,18387.199805
92,56,18390.739348
133,814,18440.588091
166,539,18535.551163
225,688,18578.054477
156,394,18602.754404
104,397,18627.191494
152,283,18644.629789
175,1304,18725.034247
198,469,18754.212945
141,162,18764.327752
142,761,18811.468734
134,139,18820.09501
161,522,18852.098915
4,33,18854.141929
130,126,18862.016369
160,254,18877.475489
137,123,18885.09514
11,49,18888.139475
80,189,18900.048153
137,301,18919.376702
32,243,18934.651175
78,38,18937.026026
10,18,18938.170909
139,276,18955.611416
130,158,18965.46135
138,128,18973.328294
156,667,19014.084755
131,140,19022.763578
144,509,19054.101248
137,282,19071.678637
143,185,19083.175353
78,40,19085.607593
108,314,19105.349361
149,228,19119.741192
162,614,19157.466955
137,114,19164.392995
200,498,19194.690109
160,264,19210.630199
136,423,19236.845344
84,39,19239.152126
135,158,19248.900206
99,204,19261.399611
4,11,19262.04953
135,280,19279.58998
92,861,19331.86548
82,93,19337.668982
136,955,19395.671726
11,17,19396.764386
136,421,19422.563423
136,136,19430.954301
135,249,19446.1614
136,124,19453.909578
8,92,19459.496113
135,1359,19543.184008
96,96,19549.050999
136,405,19574.454407
78,46,19577.293751
136,206,19590.196877
135,126,19597.908215
136,244,19612.562625
136,323,19632.248262
136,542,19666.315382
83,54,19669.786803
135,664,19711.363666
140,500,19741.883438
23,112,19748.791987
136,1089,19816.677776
128,350,19837.781796
136,180,19848.898429
139,634,19888.272939
10,26,19889.851197
136,172,19900.496423
137,351,19921.637176
135,242,19936.359229
147,893,19992.204231
136,433,20019.364758
136,282,20036.237355
90,117,20043.306585
123,1030,20105.601479
166,307,20124.470881
89,52,20127.660262
171,728,20172.518279
5,9,20173.055583
187,877,20226.831222
22,205,20239.460013
208,438,20266.53198
150,550,20300.245906
185,401,20325.079179
150,310,20344.314921
151,419,20370.272736
151,491,20400.303246
150,593,20436.830371
164,931,20494.200755
194,594,20531.309357
86,374,20554.70026
131,427,20580.943255
162,1017,20643.226556
77,40,20645.76259
1,8,20646.255579
9,18,20647.355612
152,170,20657.709928
236,671,20699.246976
150,223,20713.079626
112,384,20736.669286
166,1093,20804.080066
151,128,20812.164572
79,43,20814.761697
196,1539,20909.673696
85,77,20914.374665
224,463,20942.643048
79,66,20946.76318
8,15,20947.666509
127,103,20954.081222
144,422,20980.048176
79,173,20990.822763
214,158,21000.611962
7,16,21001.646704
4,7,21002.077152
148,234,21016.35266
149,197,21028.473273
92,51,21031.669983
137,135,21039.971624
80,92,21045.617828
169,1013,21108.611907
91,91,21114.170749
7,16,21115.141425
137,130,21122.935274
153,1032,21186.338824
136,126,21194.027495
79,36,21196.176785
90,324,21216.740593
143,309,21235.787373
72,84,21240.846862
141,407,21265.696109
139,224,21279.758638
2,9,21280.315588
142,335,21301.043527
137,132,21309.417045
123,1031,21374.314847
156,578,21409.563578
116,159,21419.321751
93,62,21423.320755
117,153,21433.047649
126,101,21439.495918
99,84,21445.019821
4,11,21445.732438
1,11,21446.546018
97,77,21451.65651
121,244,21467.065741
97,73,21471.626347
203,408,21496.225703
6,19,21497.427371
99,133,21505.367476
120,360,21527.115247
85,53,21530.384698
135,169,21540.98339
152,484,21570.911638
116,121,21578.445766
6,20,21579.650658
143,341,21600.546872
3,41,21603.319005
95,76,21607.884299
10,23,21609.279786
137,125,21617.117684
94,54,21620.414006
96,69,21624.663631
97,67,21628.76594
137,408,21654.167131
137,250,21669.971502
167,1229,21747.253059
166,1283,21825.244041
135,173,21835.828479
88,65,21839.897814
88,133,21848.129323
165,603,21885.569893
135,181,21897.028619
126,235,21911.77733
217,1968,22033.978652
9,22,22035.379396
135,282,22053.085827
135,208,22065.76795
135,278,22083.177225
169,874,22137.88421
135,458,22166.099807
170,590,22202.465275
150,183,22213.585786
109,408,22238.353846
84,51,22241.537608
151,274,22258.283333
135,206,22271.027293
99,94,22276.777901
78,44,22279.575348
156,978,22338.975823
133,265,22355.10759
214,355,22376.778655
168,576,22411.13142
137,154,22420.424166
136,172,22431.000304
135,538,22463.902432
85,70,22468.269269
135,474,22497.709333
86,189,22509.264577
86,74,22513.752403
5,12,22514.491343
135,200,22527.149436
144,225,22540.903676
9,16,22541.852198
9,16,22542.823226
152,355,22564.312102
159,296,22582.34315
7,14,22583.149716
136,528,22615.896289
132,143,22624.668939
71,127,22632.516268
140,220,22646.274311
20,165,22656.619851
90,284,22674.72354
138,125,22682.330959
89,87,22687.601173
171,543,22720.236765
131,160,22729.727407
135,177,22740.346891
84,78,22745.230188
138,115,22752.190872
7,18,22753.31042
175,1054,22818.816767
133,367,22841.322327
118,128,22849.322552
135,205,22862.161592
141,130,22869.960459
99,111,22876.744289
137,294,22894.915113
81,53,22898.149854
137,165,22908.086041
133,194,22920.165746
151,489,22950.009617
87,84,22955.170977
125,144,22964.183976
88,70,22968.52274
85,87,22973.874876
135,216,22987.277789
137,210,23000.684406
139,374,23024.411659
89,77,23029.235672
140,1293,23108.585461
186,816,23159.077397
136,252,23175.353432
139,146,23184.55499
89,111,23191.429415
79,50,23194.465127
139,422,23220.684065
138,1022,23283.390281
74,154,23292.8334
136,894,23348.411034
5,11,23349.05677
78,108,23355.639556
82,129,23363.456866
137,812,23414.0941
115,539,23447.366171
85,76,23452.041015
116,306,23470.836633
2,9,23471.374162
79,64,23475.233176
123,253,23490.701998
137,618,23528.628158
137,214,23541.815185
79,112,23548.595291
70,68,23553.050975
137,861,23606.109769
94,184,23617.169723
137,225,23630.390026
137,287,23647.912702
137,446,23676.337945
137,515,23708.23815
135,303,23726.833976
135,1278,23805.726621
129,306,23824.570742
135,769,23871.723744
135,1335,23953.512468
4,11,23954.190589
79,97,23960.197375
135,563,23995.928271
135,625,24034.002043
130,138,24042.463238
92,727,24086.955662
129,191,24098.615147
87,1193,24172.936269
5,7,24173.367899
4,15,24174.266627
133,616,24213.1317
83,63,24217.007297
132,1028,24280.07228
181,548,24313.371974
84,117,24320.637018
185,536,24353.301655
34,256,24369.132458
128,266,24385.811052
92,370,24408.204003
132,268,24424.574776
135,1661,24526.315729
135,886,24581.274901
134,376,24604.446233
148,841,24656.339615
116,322,24676.019995
122,110,24682.054184
116,427,24764.454183
108,101,24770.621002
124,336,24791.596145
116,334,24812.402618
2,15,24813.32724
2,12,24814.064501
2,12,24814.821417
84,155,24824.30103
116,148,24833.449046
122,385,24857.111826
78,38,24859.369977
112,221,24872.61078
1,13,24873.357991
133,473,24902.871675
113,158,24913.140471
111,189,24924.608979
2,15,24925.562936
110,91,24931.118357
117,151,24940.278999
133,322,24959.732615
132,464,24988.125694
123,318,25007.618204
5,32,25009.618146
168,319,25029.457882
79,88,25034.967375
132,798,25084.650767
167,200,25097.404124
133,333,25118.863496
37,653,25159.322969
73,65,25163.446145
122,327,25183.710291
144,491,25213.496329
75,89,25219.042637
136,361,25241.128759
180,234,25255.078819
5,18,25256.194624
131,217,25269.435735
146,431,25295.285195
133,406,25320.62623
134,212,25333.774606
95,214,25347.005681
118,118,25354.391092
129,182,25366.052388
133,778,25413.848367
122,432,25441.51956
135,222,25455.341112
130,236,25469.50122
118,115,25476.631722
95,46,25479.715394
133,475,25509.609324
3,8,25510.107123
117,209,25522.783746
8,21,25524.126441
117,204,25536.725062
145,453,25564.86352
144,417,25589.868785
156,817,25638.724337
122,233,25653.24253
151,728,25698.156991
94,114,25704.994164
123,219,25718.299564
122,199,25730.480098
93,138,25739.048374
139,655,25779.609531
4,7,25780.017191
84,112,25786.793287
126,134,25795.094146
97,185,25806.325979
37,672,25848.599798
78,47,25851.612424
137,447,25879.079151
85,199,25891.226506
72,265,25907.654876
29,444,25935.645386
119,722,25980.92225
122,302,25999.091439
77,83,26004.154306
4,11,26004.821435
81,147,26013.865376
78,130,26022.002069
86,89,26027.496642
186,847,26079.674751
135,366,26102.764419
8,13,26103.584263
79,140,26112.389082
122,275,26129.723885
84,138,26138.103068
79,127,26145.863265
135,330,26165.738743
96,254,26181.234581
84,113,26188.124285
84,99,26194.059934
134,314,26213.25961
77,40,26215.834321
79,51,26219.07978
3,12,26219.880762
135,480,26249.816999
78,100,26256.102634
183,256,26272.00007
86,113,26279.042031
123,210,26292.006918
77,51,26295.09233
165,266,26311.592665
135,979,26371.979396
84,55,26375.225098
79,47,26378.04004
120,210,26390.83257
135,1223,26466.248076
127,254,26482.281807
135,2261,26621.418512
79,163,26631.630317
135,826,26683.514413
185,417,26708.806731
4,13,26709.56742
77,195,26721.373235
135,381,26744.873406
83,181,26755.841474
185,254,26771.457692
135,428,26797.542955
135,1456,26886.976344
133,249,26902.129616
92,61,26905.984963
123,160,26915.805346
109,141,26924.409222
84,72,26928.854217
80,250,26944.2102
136,636,26982.895156
135,218,26996.266382
93,482,27026.314255
87,676,27068.582228
135,549,27102.285353
2,9,27102.86829
135,833,27154.77953
139,351,27176.017754
87,113,27182.71315
70,72,27187.205543
113,213,27200.841421
172,348,27222.98945
97,232,27237.979315
4,11,27238.634974
135,598,27275.817178
1,79,27280.867015
122,156,27290.50335
109,429,27316.636305
3,9,27317.176067
79,38,27319.506373
165,441,27342.452831
118,149,27350.177134
121,219,27361.524261
135,182,27370.837351
185,340,27388.73776
133,264,27402.665381
79,79,27406.813013
185,326,27425.371403
128,656,27465.651217
130,198,27477.661499
183,697,27519.43613
9,12,27520.130162
109,254,27535.495959
135,1011,27596.276845
158,315,27615.605919
185,1643,27716.882057
133,418,27742.876952
176,234,27757.141226
170,209,27769.995505
42,137,27778.634392
92,64,27782.584245
79,36,27784.829658
9,16,27785.866181
167,228,27800.304988
9,18,27801.404822
185,373,27823.790733
98,251,27839.049984
187,755,27884.747758
183,602,27920.989164
188,593,27956.993677
184,513,27988.584029
121,191,28000.158314
98,222,28013.894944
80,156,28023.535732
109,747,28069.656202
128,208,28082.568301
183,352,28104.477431
5,13,28105.298746
158,236,28119.916085
83,73,28124.191412
178,231,28138.753943
99,100,28144.76337
5,20,28145.966367
93,74,28150.35921
195,1147,28220.226364
132,363,28242.472985
134,184,28253.621208
89,91,28259.28076
135,416,28285.017049
187,735,28329.903922
135,409,28354.570461
181,554,28388.34912
5,28,28390.090403
93,178,28400.782645
102,280,28417.844144
172,564,28452.263237
133,477,28481.487336
181,463,28510.809724
115,467,28539.871038
10,19,28541.006453
5,18,28542.093932
118,515,28573.996688
182,347,28595.231047
8,17,28596.286739
6,33,28598.398491
7,16,28599.410664
96,436,28625.882056
113,288,28643.696747
103,119,28651.076467
111,374,28674.353089
82,143,28683.220334
113,549,28717.744663
133,520,28750.867177
93,48,28753.730401
182,312,28772.928379
89,75,28777.554196
96,217,28791.086794
0,57,28794.706398
93,90,28800.340104
81,134,28808.541481
111,297,28826.885789
5,17,28827.9595
129,340,28849.011519
94,370,28872.07645
133,446,28899.993977
105,434,28926.653767
131,507,28958.441132
128,214,28971.715976
77,42,28974.42302
179,351,28995.985967
135,448,29024.02795
4,6,29024.429276
3,11,29025.148709
179,322,29045.236356
130,251,29060.947225
129,219,29074.341535
3,18,29075.45832
90,52,29078.773966
129,321,29098.6499
130,365,29121.172864
182,301,29139.893868
131,255,29155.252403
129,462,29183.730172
93,68,29187.951383
128,250,29203.616124
121,109,29210.1369
10,17,29211.167319
138,1023,29274.969197
129,338,29296.174756
139,1191,29368.896065
92,75,29373.458199
133,298,29392.353179
84,288,29409.903898
81,134,29418.265447
92,200,29430.509406
88,89,29435.821429
131,180,29446.908347
131,1376,29532.642706
78,80,29537.430919
79,131,29545.341583
7,14,29546.171457
76,38,29548.491669
85,347,29569.818887
130,754,29616.399451
2,11,29617.129338
131,598,29653.487707
92,45,29656.28844
181,588,29692.362853
79,65,29696.431184
9,16,29697.425334
116,684,29739.713688
2,7,29740.157934
183,240,29755.061998
177,221,29769.052065
138,618,29807.462871
91,89,29813.027277
131,318,29832.141408
128,388,29856.170518
135,359,29878.308475
135,569,29913.730756
130,234,29928.30146
120,170,29938.78611
7,14,29939.656698
88,135,29947.961632
7,19,29949.141853
136,527,29982.370956
136,1240,30060.191306
90,143,30069.191715
128,200,30081.479166
185,429,30107.941693
7,12,30108.705572
135,259,30125.188275
177,493,30155.792396
111,146,30165.317142
136,498,30196.31433
131,464,30225.263621
136,821,30276.260346
88,46,30279.011436
7,16,30280.003757
134,799,30328.301894
170,107,30334.80211
182,404,30360.003912
90,75,30364.877136
4,28,30366.648613
137,632,30406.013661
171,258,30421.799787
136,459,30450.049475
1,23,30451.503034
134,481,30481.275708
168,125,30489.012759
181,252,30504.697197
10,13,30505.522564
97,78,30510.454235
130,203,30523.211442
31,127,30531.342829
7,25,30532.964571
177,204,30545.22226
135,422,30570.884657
111,361,30592.936679
167,197,30605.043384
110,633,30644.438549
171,192,30656.107825
97,127,30664.038938
28,134,30672.270381
10,18,30673.427102
80,182,30684.556558
80,49,30687.616841
8,15,30688.512788
188,645,30728.88829
185,362,30751.43633
91,235,30765.541428
180,416,30791.373008
99,294,30809.635061
187,1053,30872.187238
145,904,30986.027549
2,11,30986.72533
85,170,30996.96654
81,345,31018.155711
99,179,31029.150028
99,365,31052.031123
80,106,31058.485928
92,195,31070.556334
2,9,31071.103445
131,290,31089.242333
79,142,31098.007065
2,8,31098.49699
1,8,31098.986852
78,37,31101.169119
97,300,31119.548379
2,7,31120.008708
81,293,31137.819175
81,96,31143.994951
124,465,31172.643176
103,551,31205.79695
135,797,31255.706772
99,175,31266.095264
100,450,31293.83781
140,1225,31368.787597
85,211,31381.746639
130,222,31395.688752
137,538,31428.543705
129,291,31446.989081
85,113,31454.304951
124,898,31509.6793
140,266,31525.940825
172,230,31540.088064
7,12,31540.835058
102,644,31580.533292
9,16,31581.492009
10,17,31582.558369
115,370,31605.664035
185,693,31648.656438
186,639,31688.147657
185,315,31707.741211
185,494,31738.562689
158,163,31748.738411
103,381,31771.983818
98,80,31777.116992
97,281,31794.820504
140,832,31844.94403
169,1188,31917.712464
120,563,31953.119055
140,760,31999.98321
186,610,32037.928982
199,468,32066.958906
10,19,32068.19287
97,177,32079.351522
132,198,32091.631095
183,446,32119.337278
102,166,32129.661568
78,59,32133.52729
181,219,32146.929694
128,477,32176.507725
108,192,32188.596619
138,222,32201.925194
116,510,32233.175021
133,228,32247.471255
140,1435,32335.173093
140,541,32368.874795
139,311,32387.532688
97,598,32424.740672
9,26,32426.307312
75,77,32430.982198
136,571,32466.319523
4,11,32466.994338
101,250,32482.330337
146,581,32517.822116
80,163,32527.732586
129,258,32543.541132
140,368,32566.390185
163,170,32577.034821
129,727,32621.987173
77,161,32632.101297
182,862,32685.249584
190,402,32709.471765
8,17,32710.56829
7,14,32711.404025
141,305,32730.166737
136,263,32746.379952
137,833,32798.519301
146,457,32826.853778
81,154,32836.601089
140,483,32866.638561
85,133,32874.748879
138,471,32904.637627
166,1273,32983.879663
135,275,33000.696208
120,287,33018.253279
107,289,33035.922192
202,561,33070.695276
3,12,33071.470408
136,764,33118.636898
185,473,33147.87547
202,869,33202.391307
135,182,33213.269357
135,711,33257.292869
135,476,33285.550934
186,345,33306.651156
194,888,33361.123078
7,16,33362.14394
188,617,33399.80904
186,449,33427.548219
140,992,33488.773187
185,233,33503.433481
135,257,33519.418758
159,892,33575.032309
149,449,33603.088014
141,1041,33667.278924
210,895,33722.401698
150,350,33743.653666
182,103,33749.980019
136,544,33782.975761
183,210,33795.562289
85,58,33799.256965
201,277,33816.169735
185,213,33829.822678
135,537,33862.615788
80,136,33871.071337
100,134,33879.196029
150,420,33905.36383
162,490,33935.425122
135,496,33965.216013
151,1041,34028.349896
143,437,34055.561768
144,477,34084.65894
182,1320,34165.95011
222,1190,34239.131167
123,502,34269.909448
174,770,34316.93062
92,83,34321.776114
143,269,34338.118485
92,244,34352.923222
9,18,34354.040774
100,154,34363.705842
89,243,34378.133818
91,234,34392.426798
185,173,34403.220448
89,88,34408.866337
164,333,34429.532899
4,9,34430.088392
87,39,34432.586702
9,16,34433.568238
5,47,34436.453799
10,17,34437.492416
158,267,34454.028774
187,465,34482.655925
7,16,34483.655577
139,342,34504.337259
99,219,34518.047642
172,566,34552.585824
7,12,34553.340409
78,51,34556.396096
172,972,34615.317987
150,497,34644.934872
103,233,34658.971925
87,108,34665.405071
102,180,34676.212866
173,517,34707.097687
167,243,34722.01267
173,411,34746.939441
135,176,34757.663533
5,8,34758.162129
169,498,34788.945605
71,47,34791.874889
183,307,34810.76108
6,13,34811.511871
10,15,34812.401099
138,461,34840.484658
92,75,34845.077404
5,12,34845.856802
133,104,34852.115743
139,155,34861.366259
3,11,34862.021194
174,547,34895.296107
174,638,34935.039593
224,243,34950.629481
156,1130,35020.336026
8,13,35021.140323
79,40,35023.696285
173,424,35050.152186
131,151,35059.262916
221,1545,35154.305067
167,490,35183.712686
130,267,35200.066899
10,24,35201.564291
95,101,35207.874914
133,183,35219.319691
185,704,35262.882407
223,671,35304.435347
224,943,35361.580208
282,1314,35442.460353
240,1369,35526.859662
137,176,35537.336052
173,1277,35614.600153
118,206,35626.757708
86,177,35637.466948
97,75,35641.939409
143,334,35662.169858
2,9,35662.730876
269,612,35700.769843
163,371,35724.250925
99,235,35738.683442
173,644,35779.023886
99,339,35799.879664
200,333,35820.381602
186,329,35840.642807
151,251,35856.093308
200,326,35876.299069
225,374,35899.432048
100,128,35907.375034
9,16,35908.315454
89,55,35911.753486
223,445,35939.177307
185,258,35955.31839
100,166,35965.630027
92,100,35971.850568
7,16,35972.861795
184,331,35993.205454
137,238,36007.930812
162,351,36030.044155
166,305,36049.035639
81,191,36060.688442
78,38,36062.958786
112,499,36093.65215
137,163,36103.834223
89,92,36109.670686
181,110,36116.428236
93,78,36121.20489
177,1276,36200.110468
1,9,36200.676391
172,926,36257.510464
92,304,36276.201621
84,36,36278.44325
135,120,36285.990799
84,393,36310.285114
135,173,36321.098711
84,882,36375.537404
266,213,36388.668972
221,385,36412.046751
207,1548,36507.35837
227,427,36533.53997
152,426,36559.810203
137,104,36566.318269
5,18,36567.411092
223,233,36581.856814
173,480,36611.311058
172,485,36641.111037
148,384,36664.208019
80,47,36667.180421
152,258,36682.991297
198,214,36696.029323
199,529,36726.49448
14,80,36731.132048
4,11,36731.78049
100,94,36737.087495
112,648,36775.535305
194,233,36788.899667
233,435,36814.080796
128,184,36825.37381
143,115,36832.392503
86,77,36837.194427
82,53,36840.399947
202,319,36860.210127
93,175,36871.252495
147,267,36887.706636
10,17,36888.760211
234,312,36908.114959
87,47,36911.009901
136,163,36921.239461
194,175,36931.986279
175,671,36973.44646
7,14,36974.291223
272,1287,37054.072171
199,286,37071.330356
124,640,37108.056283
175,856,37286.850972
135,249,37302.017369
100,168,37312.610427
136,510,37343.458641
144,345,37364.418504
135,573,37398.72383
148,415,37423.833951
1,7,37424.299636
89,51,37427.482103
5,8,37427.997289
52,260,37444.05645
239,666,37484.652899
79,38,37487.05648
192,842,37539.262975
187,1330,37620.905013
90,47,37623.705079
179,347,37644.899456
80,47,37647.707366
130,147,37656.751783
197,473,37685.4452
130,152,37694.788128
185,687,37737.278215
8,17,37738.320621
148,357,37759.809163
130,507,37792.47365
105,309,37811.726469
147,397,37836.20783
129,464,37864.847779
90,42,37867.344457
86,61,37871.300828
4,11,37871.972966
144,1068,37930.28814
130,284,37944.868506
83,72,37948.638816
179,354,37967.595433
101,261,37980.848052
132,808,38025.030328
81,66,38029.002721
231,1393,38115.259572
139,866,38169.232504
190,848,38220.989114
80,310,38240.159194
126,197,38252.610762
125,148,38261.628272
149,575,38296.918996
1,25,38298.486358
2,32,38300.481935
1,48,38303.528777
133,631,38343.340972
133,159,38353.038844
3,10,38353.675443
152,713,38397.440441
147,260,38413.673134
12,158,38423.419573
77,59,38427.135233
149,275,38444.096098
166,1401,38530.877533
114,451,38558.996103
119,481,38588.433375
173,160,38597.98247
81,142,38606.381231
85,41,38608.77791
139,612,38646.974188
115,323,38667.230783
165,156,38676.739464
171,420,38702.88878
111,386,38727.394875
1,9,38728.002325
117,274,38745.363183
185,362,38767.445258
204,460,38795.977395
186,413,38822.232501
221,743,38867.835776
187,275,38884.598013
142,184,38895.935813
181,301,38914.81128
138,528,38948.218221
187,214,38961.717902
143,280,38978.932896
189,224,38992.53458
193,160,39002.508991
77,76,39007.160124
4,15,39008.079939
87,42,39010.669713
189,214,39023.975764
92,49,39027.016452
138,284,39044.743973
2,15,39045.693932
105,148,39054.875893
173,247,39070.398164
85,53,39073.638491
1,7,39074.060918
99,141,39082.567503
214,377,39105.741167
144,256,39121.692897
139,322,39141.400758
104,145,39150.162854
183,140,39158.864236
271,701,39202.028497
148,1534,39297.253345
131,166,39307.587425
89,70,39311.860724
92,60,39315.623241
118,617,39353.545839
7,19,39354.697329
113,158,39364.695616
46,565,39399.452523
128,164,39409.645336
87,143,39418.62428
106,296,39436.686996
1,9,39437.256902
1,14,39438.076192
161,565,39472.91691
251,578,39507.935825
190,205,39520.558262
81,84,39525.823942
8,15,39526.749792
91,57,39530.274393
7,16,39531.230429
99,328,39551.909783
86,88,39557.576303
